scenario_id,variant,passed,decision_match_at_1,constraint_violation,ticket_field_accuracy,observed_primary_exception,expected_primary_exception,exception_match,fifo_break_justified,audit_complete,decision_status,recommended_truck,recommended_destination,fifo_break,rejected_count,tool_call_count,tool_call_success,tool_path,tool_error_count,planner_step_count,latency_ms_total
S01_BASELINE,raw_fifo,True,True,False,0.0,NO_CONTEXT,NO_EXCEPTION,False,False,False,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0
S01_BASELINE,fifo_safe,True,True,False,0.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0
S01_BASELINE,heuristic,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,0,False,,0,0,0
S01_BASELINE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0
S02_RAIN_OPEN,raw_fifo,True,False,True,0.0,NO_CONTEXT,RAIN_ON_OPEN_DESTINATION,False,False,False,PREVIEW_READY,TRK-001,DST-OPEN-01,False,0,0,False,,0,0,0
S02_RAIN_OPEN,fifo_safe,True,True,False,0.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0
S02_RAIN_OPEN,heuristic,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,0,False,,0,0,0
S02_RAIN_OPEN,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0
S03_WET_LOAD,raw_fifo,True,False,True,0.0,NO_CONTEXT,MANUAL_REVIEW_HINT,False,False,False,PREVIEW_READY,TRK-001,DST-DRY-01,False,0,0,False,,0,0,0
S03_WET_LOAD,fifo_safe,True,True,False,0.0,MANUAL_REVIEW_HINT,MANUAL_REVIEW_HINT,True,False,True,REVIEW_REQUIRED,,,False,0,0,False,,0,0,0
